Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ANEF_Eloignement_OQTF,Chrome 133.0.0.0,,,12-02-2025 14:33:25,12-02-2025 14:35:14,"1m - 49,585s",PASSED
,,,,,,,
Test Cases/Cas D Utilisations/A_Version_Nawres/Eloignement_OQTF,Chrome 133.0.0.0,,,12-02-2025 14:33:25,12-02-2025 14:35:14,"1m - 49,123s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Lancer_URL_ANEF""), [""Profiles"":Profiles, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour lancer URl ANEF pour Agent,,12-02-2025 14:33:26,12-02-2025 14:33:33,"7,077s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Identification""), [""Profiles"":Profiles, ""IdentifiantAgent"":IdentifiantAgent, ""PwAgent"":PwAgent, ""EnvExec"":EnvExec], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour Identification Agent,,12-02-2025 14:33:33,12-02-2025 14:33:46,"13,051s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Creation_ou_Recherche_Dossier""), [""CreationOuRecherche"":CreationOuRecherche], STOP_ON_FAILURE)",Chrome 133.0.0.0,Appel Brique Réutilisable pour Creation ou Recherche de dossier avec un numero etranger ,,12-02-2025 14:33:46,12-02-2025 14:34:24,"37,541s",PASSED
"if (CreationOuRecherche == ""Creation"")",Chrome 133.0.0.0,,,12-02-2025 14:34:24,12-02-2025 14:34:48,"23,831s",PASSED
println(NumeroEtranger),Chrome 133.0.0.0,,,12-02-2025 14:34:48,12-02-2025 14:34:48,"0,014s",PASSED
"callTestCase(findTestCase(""Test Cases/Test Reutilisable/Main/AVersion_Nawres/ANEF_Prendre_Mesure""), [""Mesure"":Mesure, ""FondementLegal"":FondementLegal, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ""NatureDeLacteExpulsion"":NatureDeLacteExpulsion, ... ], STOP_ON_FAILURE)",Chrome 133.0.0.0,"Appel Brique Réutilisable pour Prendre une Mesure selon les Choix : OQTF , Expulsion ,IAT ,ITF ,ExecutionFicheSIS, RemiseSchengen, TransfertDublin",,12-02-2025 14:34:48,12-02-2025 14:35:11,"23,657s",PASSED
Video,Chrome 133.0.0.0,,,12-02-2025 14:35:14,12-02-2025 14:35:14,"0,001s",PASSED
